ARGUMENT,TYPE 
3] Advocate for the applicants in his argument stated that co­accused of these two accused Mr. Ramesh Ahuja was granted bail by this court.,PREMISE
These applicants are also similarly placed hence on the ground of parity they be released on bail.,PREMISE
Investigation is almost completed and nothing remained to be recovered or discovered from these applicants.,PREMISE
"Hence, they may be released on bail.",CONCLUSION
4] Ld. DGP strongly opposed this application.,PREMISE
It is her contention that these applicants are originally belonging to Nepal.,PREMISE
"If they will be released on bail, they will flee away from justice.",PREMISE
"Therefore, their bail application was rightly rejected by learned magistrate.",CONCLUSION
"If they will be released on bail, there is possibility of repetition of offence.",PREMISE
So also there is possibility of tampering prosecution witnesses and evidence.,PREMISE
"Therefore, this application may be rejected.",CONCLUSION
"5] In this application and in police papers, the address of these applicants is mentioned as Sanghvi, Pune and Kalyan Phata, Panvel Road, Mumbai respectively.",PREMISE
"They are permanent resident of Tikapur Nepal and District Survet, Nepal but merely for this reason bail cannot be refused to them.",PREMISE
Nothing remained to be recovered or discovered from them.,PREMISE
"Therefore, their further detention in jail is not necessary.",CONCLUSION
By imposing stringent conditions they can be released on bail.,CONCLUSION
"Hence, I pass the following order.",CONCLUSION
According to the accused he was not doing data entry work on the day of registration of said document on 15.11.2017.,PREMISE
He has been appointed as data entry operator in the said office from 24.10.2018 and till today he is working in the said office.,PREMISE
In support of submission he has produced copy of appointment letter below Exh. 3.,PREMISE
It appears that alleged document finalized on 15.11.2017 and F.I.R. came to be lodged on 17.12.2018 and prima facie applicant accused was appointed on 24.10.2018.,PREMISE
"No active role played by the applicant accused, therefore, his custodial interrogation is not required.",PREMISE
"Thus, following order.",CONCLUSION
It is alleged that mother of victim aged about 17 years lodged report of her missing.,PREMISE
"During investigation and after recording statement of victim, it revealed that victim and applicant were acquainted with each other.",PREMISE
There was love affair between them.,PREMISE
They were meeting each other and talking with each other.,PREMISE
Once prior to three months mother of victim learnt about her relationship with applicant and scolded her.,PREMISE
"Therefore, on 09.10.2018 victim went away from house and had gone to the house of sister of applicant.",PREMISE
Applicant came to meet her at the house of her sister for two to three times.,PREMISE
Then he asked her that they would go to Kolhapur for performing marriage.,PREMISE
"She went with him at Kolhapur, they resided together in a rented room at Shivaji Peth, Kolhapur for about one month where applicant committed forcible sexual intercourse with her from time to time.",PREMISE
3] According to applicant he is falsely implicated in this matter.,PREMISE
It is a case of love affair.,PREMISE
Victim herself left the house due to love affair.,PREMISE
"She is 17 years old therefore, she knows difference between right and wrong.",PREMISE
"Applicant is 20 years old and doing service, taking education.",PREMISE
"He is permanently residing at Dhayari, Pune.",PREMISE
He has no criminal antecedents.,PREMISE
He is ready to abide the conditions.,PREMISE
"Hence, he prayed to release him on bail.",CONCLUSION
4] APP and I.O. objected this application on the ground that investigation is in progress.,PREMISE
Applicant will pressurize victim and witnesses.,PREMISE
There is possibility of tampering prosecution evidence.,PREMISE
"So, they prayed to reject the application.",CONCLUSION
5] Allegations against the applicant are serious.,PREMISE
Applicant is sufficiently interrogated.,PREMISE
From statement of victim role attributed to applicant can be gathered.,PREMISE
It revealed that due to love affair victim and applicant went away and resided at Kolhapur and at the house of his sister for more than one month.,PREMISE
At Kolhapur in a rented room applicant committed forcible sexual intercourse with her from time to time.,PREMISE
"It appears that when mother of victim learnt about their relationship, she left the house and went with applicant at different places.",PREMISE
Victim is 17 years old and applicant is 20 years old.,PREMISE
Victim has attended age of sufficient maturity and knows the consequences of act.,PREMISE
"Moreover, it is observed that factor i.e. age of prosecutrix, whether act is violent, whether there are antecedents or not, whether offender is capable of repeating the act or not, whether there is likelihood of threats or intimidation if at all the boy is released, whether chance of tampering with material witnesses and age of the applicant and his employment and plan, stabilize and secure his future are to be taken into consideration while deciding bail application, when boy and minor girl are in love with each other.",PREMISE
7] Ratio laid down in above cited ruling is noted.,PREMISE
Medical papers of victim shows history of love affair and she left the house at her own accord.,PREMISE
She gave history of sexual intercourse with consent.,PREMISE
Victim never complained since beginning.,PREMISE
It prima­facie revealed that she herself left the house and went with applicant due to love affair at different places.,PREMISE
These are mitigating circumstances.,PREMISE
"Moreover, investigation is practically over.",PREMISE
Personal custody of applicant is not required.,PREMISE
He has no criminal antecedents.,PREMISE
His family members are depending on him.,PREMISE
"He is permanently, residing at Dhayari, Pune.",PREMISE
No purpose would serve by keeping the applicant behind bar for unknown period.,PREMISE
Due to all above reasons application deserves to be allowed with following order ­,CONCLUSION
"2] The prosecution case in short is that the complainant Vinod Jagdish Wagh lodged complaint with Sinhagad Road police station inter alia contending that on 17-12-2018, he realized that his wife Aditi was in disturbed mood and hence he asked her about the same.",PREMISE
"That time, she told that one Ashish Dhiwar is blackmailing her.",PREMISE
"She further told that during Ganesh festival, his wife Aditi used to go with son Parth at Dhol Pathak.",PREMISE
"That time, she got acquainted with one Ashish Dhiwar.",PREMISE
"Thereafter, by giving some assurance he used to roam with her and snapped some photographs.",PREMISE
